Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53,Município
5.800000000000001,164.0,155.2,56.599999999999994,99.4,9.200000000000001,0.0,0.2,77.8,42.60000000000001,50.0,3.6000000000000005,37.199999999999996,20.4,35.800000000000004,0.2,1.0,1.0,0.6000000000000001,3.4,17.200000000000003,42.400000000000006,21.599999999999998,0.8,2.0,1.5999999999999999,2.1999999999999997,1.5999999999999999,2.9999999999999996,8.399999999999999,0.8,0.2,8.799999999999999,0.4,0.4,25.199999999999996,0.2,1.4000000000000001,46.0,46.0,5.0,70.4,7.800000000000001,3.5999999999999996,35.4,30.4,61.0,95.60000000000002,53.199999999999996,51.99999999999999,45.599999999999994,6.800000000000001,0.4,Barbacena
1.4,76.80000000000001,18.4,74.8,153.6,59.0,8.200000000000001,10.2,128.60000000000002,23.199999999999996,21.799999999999997,97.0,18.4,41.6,36.599999999999994,0.0,0.0,0.0,0.0,0.0,1.6,87.80000000000003,7.000000000000001,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.800000000000001,9.2,0.0,8.4,0.0,8.4,15.999999999999998,91.20000000000002,5.4,60.199999999999996,8.2,27.8,0.4,8.0,61.2,71.60000000000001,32.2,0.0,0.0,0.0,0.0,Araxá
0.0,62.199999999999996,163.39999999999998,59.400000000000006,21.0,4.0,0.0,0.0,1.2000000000000002,0.0,5.200000000000001,19.400000000000002,36.8,4.200000000000001,53.6,21.400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8,17.599999999999998,23.4,12.600000000000001,0.0,16.599999999999998,12.4,0.6000000000000001,8.0,179.60000000000002,16.8,118.8,221.6,61.199999999999996,0.0,Montes Claros
0.0,0.4,57.8,82.80000000000001,0.4,2.4,0.0,1.4000000000000001,0.0,0.0,30.4,40.00000000000001,69.2,29.400000000000002,134.6,6.3999999999999995,2.4,0.2,0.2,5.800000000000001,0.2,0.6000000000000001,28.199999999999996,4.0,1.4,0.4,14.400000000000002,2.2,0.2,1.9999999999999998,0.0,4.6,0.4,14.0,1.7999999999999998,8.0,57.0,2.2,0.0,9.200000000000001,7.4,14.400000000000002,0.6000000000000001,26.999999999999996,9.400000000000002,6.2,0.0,43.0,8.8,115.6,117.80000000000001,59.6,0.0,"Almenara,Jacinto"
0.4,33.00000000000001,30.200000000000003,7.0,66.60000000000001,60.40000000000001,0.6000000000000001,0.8,132.0,51.2,23.8,61.8,55.6,11.6,124.0,0.4,0.6000000000000001,0.4,0.4,8.0,30.0,24.2,26.999999999999996,1.2,1.0,2.1999999999999997,2.2,0.4,0.8,0.0,0.0,0.2,0.4,0.0,0.4,14.8,0.2,5.000000000000001,21.2,26.799999999999997,11.600000000000001,45.6,1.0,0.6000000000000001,39.800000000000004,2.8000000000000003,29.799999999999997,78.60000000000001,104.80000000000001,77.6,157.59999999999997,38.4,32.4,Viçosa
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,31.200000000000003,0.0,74.6,12.6,48.400000000000006,15.2,78.80000000000003,8.6,0.2,0.6000000000000001,0.4,2.5999999999999996,32.8,15.599999999999998,39.599999999999994,0.6000000000000001,0.2,0.4,0.0,0.4,0.0,0.6000000000000001,0.0,0.0,3.6000000000000005,0.0,0.0,12.399999999999999,0.6000000000000001,5.800000000000001,15.399999999999999,61.99999999999999,45.800000000000004,28.2,0.0,44.0,202.80000000000004,55.4,0.4,174.8,78.19999999999999,159.8,339.20000000000005,125.8,14.799999999999999,"Coronel Fabriciano,Timóteo"
0.4,40.0,64.8,109.8,120.0,124.8,1.0,3.0,45.39999999999999,1.6,25.0,122.80000000000001,16.0,59.0,82.0,0.4,0.0,0.0,0.0,0.0,0.0,49.2,4.6000000000000005,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,18.2,15.199999999999998,5.3999999999999995,16.0,22.2,0.0,16.8,70.8,43.0,31.199999999999996,33.599999999999994,23.2,39.600000000000016,11.600000000000001,104.8,29.999999999999996,Ituiutaba
23.2,156.60000000000002,103.6,104.4,135.0,116.80000000000001,15.199999999999998,52.199999999999996,74.6,40.599999999999994,23.6,11.199999999999998,32.8,47.79999999999999,16.2,0.4,0.0,0.0,0.0,0.2,13.400000000000002,86.99999999999999,1.0,0.2,7.600000000000001,1.2000000000000002,11.799999999999999,0.0,4.0,13.599999999999998,0.0,0.0,0.0,0.6000000000000001,0.0,10.2,0.0,14.0,20.800000000000004,54.0,8.6,31.6,8.0,3.6,48.199999999999996,8.4,91.20000000000002,82.2,16.200000000000003,30.0,105.0,4.200000000000001,25.4,Varginha
26.0,156.8,42.8,67.2,55.19999999999999,55.4,1.2000000000000002,27.599999999999998,26.799999999999997,23.799999999999997,48.2,22.399999999999995,24.2,17.6,24.0,0.2,0.0,0.2,0.4,0.0,5.2,94.0,2.2,0.0,27.799999999999997,0.4,4.0,0.0,17.6,0.6000000000000001,0.0,0.0,1.2,2.0,0.0,11.4,0.0,19.4,0.8,0.4,10.600000000000001,39.59999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.799999999999997,62.0,13.4,2.6,Passos
4.4,62.00000000000001,94.19999999999999,21.4,72.4,108.8,0.0,0.0,47.99999999999999,33.0,47.8,91.4,14.799999999999999,33.599999999999994,10.0,1.4,1.5999999999999999,0.4,0.0,13.2,40.800000000000004,25.799999999999997,32.400000000000006,0.2,0.8,0.2,0.6000000000000001,5.6000000000000005,6.2,0.4,0.2,0.2,11.4,2.4,45.00000000000001,15.4,0.0,1.7999999999999998,16.199999999999996,29.599999999999998,9.2,45.4,0.0,10.8,52.99999999999999,82.0,95.4,165.79999999999998,94.79999999999997,177.2,199.6,55.00000000000001,1.2,Muriaé
34.4,99.79999999999998,68.39999999999999,46.2,82.4,51.400000000000006,0.0,12.6,92.2,67.8,80.60000000000002,82.2,107.8,19.0,44.4,0.0,0.6000000000000001,0.2,0.0,4.800000000000001,21.4,35.0,24.4,0.0,1.2000000000000002,6.4,34.199999999999996,24.0,3.4000000000000004,9.000000000000002,0.6000000000000001,0.0,8.8,4.3999999999999995,0.4,40.00000000000001,0.0,2.4,59.4,37.6,1.8,24.200000000000003,3.0,8.600000000000001,45.00000000000001,9.200000000000001,65.2,144.8,58.0,112.4,63.60000000000001,178.8,8.399999999999999,Juiz de Fora
0.0,138.4,87.19999999999999,83.6,132.79999999999998,11.8,0.0,0.0,49.4,14.399999999999999,17.4,60.6,44.199999999999996,36.199999999999996,125.19999999999999,0.4,0.2,0.0,0.0,0.0,6.800000000000001,57.40000000000001,15.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,0.0,3.6,19.8,56.8,31.6,70.0,5.0,20.999999999999996,70.6,0.0,25.6,86.60000000000001,137.8,155.8,61.6,180.2,1.4,"Belo Horizonte,Nova Lima,Santa Luzia"
0.0,112.8,59.800000000000004,45.60000000000001,110.99999999999999,29.2,0.8,1.8,105.80000000000001,23.399999999999995,42.0,48.6,18.200000000000003,71.80000000000001,43.8,0.6000000000000001,0.4,0.4,0.0,0.4,4.0,80.00000000000003,12.999999999999996,0.6000000000000001,3.6,0.6000000000000001,0.2,0.2,0.0,0.0,0.0,0.0,3.4000000000000004,1.4,0.0,6.6000000000000005,0.0,5.800000000000001,2.4000000000000004,26.6,24.799999999999997,103.6,0.0,1.0,58.599999999999994,23.4,64.80000000000001,100.60000000000001,96.0,91.6,29.0,14.200000000000001,52.2,"Patrocínio,Monte Carmelo"
3.8,98.2,89.4,41.199999999999996,89.0,40.0,0.0,12.0,77.2,11.6,12.2,31.2,63.6,33.6,13.6,0.6000000000000001,0.0,0.2,0.2,0.2,5.4,79.4,35.599999999999994,0.4,3.8000000000000007,1.0,0.2,0.0,6.199999999999999,28.0,0.2,0.0,0.4,3.0000000000000004,0.0,13.399999999999999,1.8,26.2,26.0,18.999999999999996,9.2,52.399999999999984,0.0,7.2,46.400000000000006,2.2,29.999999999999996,108.0,45.0,72.60000000000001,41.4,29.400000000000002,31.0,Formiga
0.8,40.2,60.199999999999996,82.4,11.4,10.200000000000001,0.0,0.2,16.0,0.0,26.199999999999996,26.199999999999992,75.60000000000001,6.0,26.2,10.6,2.6,0.0,0.0,6.800000000000001,33.2,0.0,37.599999999999994,0.2,0.2,0.4,7.0,2.5999999999999996,0.0,1.2000000000000002,0.0,0.0,0.0,11.4,0.0,15.8,12.2,0.0,3.0000000000000004,8.600000000000001,23.0,33.800000000000004,0.0,17.2,59.400000000000006,7.200000000000001,0.0,36.0,110.39999999999999,109.8,232.8,60.6,0.0,"Teófilo Otoni,Malacacheta"
0.0,12.0,79.39999999999999,58.4,119.40000000000002,26.6,0.0,0.2,22.599999999999994,0.0,20.8,0.2,15.6,0.8,14.2,11.599999999999998,0.0,0.0,0.0,6.4,21.4,12.2,27.999999999999993,0.2,1.0,0.0,0.2,1.9999999999999998,0.0,3.8000000000000007,0.2,0.0,8.4,16.0,3.6000000000000005,10.199999999999998,0.0,0.0,1.2,44.4,33.6,22.4,0.0,0.0,29.800000000000004,1.4,0.0,23.0,75.2,173.19999999999996,232.8,74.2,0.6,Governador Valadares
0.8,82.0,158.60000000000002,48.0,146.0,2.2,0.0,0.0,12.8,2.4,12.600000000000001,119.39999999999999,8.4,39.6,113.39999999999999,6.4,0.0,0.8,0.0,2.5999999999999996,2.2,7.0,17.8,0.2,0.0,0.6000000000000001,1.4,0.6000000000000001,0.0,0.2,0.0,0.0,4.0,0.0,0.2,8.600000000000001,0.0,4.4,24.399999999999995,23.0,6.6,24.8,4.0,14.0,33.6,4.4,0.0,180.80000000000004,90.8,139.79999999999998,209.80000000000007,158.99999999999997,7.800000000000001,"Diamantina,Itamarandiba"
